button_text,occurences,label
konfiguracja zgód,5,settings
konfiguratu,5,settings
legitimate interest,5,other
manage cookies and learn more,5,settings
manage my choices,5,settings
manage my cookies,5,settings
manage privacy settings,5,settings
nasi partnerzy,5,other
naszymi 1711 partnerami,5,other
nuestra(s) propiedad(es) digital(es),5,other
nuestros 474 socios,5,other
ok!,5,acknowledge
online privacy notice.,5,other
our 1010 partners,5,other
our 1013 partners,5,other
permetre la selecció,5,settings
permitir todo,5,accept
pliki cookie,5,other
plików cookies,5,other
pokaż więcej,5,settings
polityka prywatności.,5,other
polityką plików cookie,5,other
política de galetes,5,other
preferencias de cookies,5,settings
privacy cookie notice,5,other
privacy notices.,5,other
przejdź do strony,5,other
przejdź do ustawień,5,settings
reach and across our entities,5,other
rebutja-ho tot,5,reject
rechazar cookies no esenciales,5,reject
rechazar las cookies,5,reject
"rechazar y suscribirme 3,00 € por mes",5,reject
red de wordpress.com,5,other
refuse,5,reject
reject non-necessary cookies,5,reject
rexeitar cookies,5,reject
saber más y personalizar,5,settings
show purposes,5,settings
sólo cookies propias,5,reject
tak,5,accept
targetowanie,5,other
términos y condiciones,5,other
ustaw swoje wybory,5,settings
vendors (918),5,other
view preferences,5,settings
wchodzę,5,other
website privacy statement.,5,other
website user agreement,5,other
wydajność,5,other
wykorzystywanie ograniczonych danych do wyboru reklam,5,other
zamknij informację o plikach cookies,5,acknowledge
zarządzaj zgodami,5,settings
zmieniam zgody,5,settings
*discount terms,4,other
1018 partners,4,other
141 socios podemos,4,other
16 partners,4,other
18 u.s.c. 2257 record-keeping requirements compliance statement.,4,other
2193 third parties,4,other
300 otros sitios web,4,other
766 third parties,4,other
accept all close,4,acknowledge
accept all reject all,4,other
accept and close,4,accept
accept continue,4,accept
accept non-essential,4,reject
accept only necessary cookies,4,reject
accepta totes les cookies,4,accept
acceptable use policy,4,other
acceptar cookies,4,accept
acceptar i tancar,4,accept
accepter et continuer,4,accept
aceptar selección,4,accept
aceptar y leer gratis,4,other
aceptar y seguir leyendo,4,accept
ad partners,4,other
ad settings,4,other
advertising partners,4,other
agb,4,other
agree and continue,4,accept
akceptuj tylko niezbędne,4,reject
akceptuj wszystkie pliki cookies,4,accept
akceptuję wszystkie cookies,4,accept
allow and continue,4,accept
allow necessary,4,reject
alright!,4,acknowledge
analizar activamente las características del dispositivo para su identificación,4,other
asacp,4,other
categories of personal information,4,other
ciasteczek,4,other
clic aquí,4,other
close cookie notification,4,acknowledge
close dialog,4,other
connexió a internet habilitada,4,other
consulta cómo trata google la información personal.,4,other
content removal,4,other
continuar,4,acknowledge
continue to website,4,other
continue without accepting,4,reject
continue without changes,4,reject
cookie consent manager,4,settings
cookie policy (opens in a new tab),4,other
cookie preferences do not share,4,other
cookie setting,4,settings
cookie settings page,4,settings
cookies and similar technologies,4,other
cookiestatement,4,other
customize choices,4,settings
customize cookie settings,4,settings
cybersitter™,4,other
data protection portal,4,other
datenschutzerklärung von utiq,4,other
decline cookies,4,reject
deliver and present advertising and content,4,other
dena onartu,4,accept
denega,4,reject
deny cookies,4,reject
deny non-essential cookies,4,reject
deny optional,4,reject
details section,4,other
disagree,4,reject
dispute resolution and arbitration,4,other
dowiedz się w jaki sposób chronimy twoje dane,4,other
drittanbieter,4,other
drittanbietern,4,other
"ensure security, prevent and detect fraud, and fix errors",4,other
epoch.com,4,other
essential only cookies,4,reject
exit,4,other
find out more,4,other
forgot password?,4,other
further info,4,other
gay,4,other
gestionar configuración,4,settings
gestionar la configuración de cookies,4,settings
gestionar mis preferencias,4,settings
gestión de cookies,4,settings
global online tracking policy,4,other
googles privacy terms,4,other
guardar,4,other
guía de control parental,4,other
hier einloggen,4,other
i accept only necessary cookies,4,reject
i confirm necessary,4,reject
"if youre not 18+, exit the website",4,other
im ok with that,4,accept
informativa sui cookie,4,other
informativa sulla privacy,4,other
innymi zaufanymi partnerami (489),4,other
internet privacy statement,4,other
jetzt abonnieren,4,other
learn more in our privacy policy.,4,other
legal warning,4,other
let me choose,4,settings
lista partnerów cookies,4,other
manage cookie tracking settings,4,settings
manage individual preferences,4,settings
manage options,4,settings
manage or reject cookies,4,settings
manage specific collection and sharing preferences,4,settings
manage your cookies,4,settings
mlb privacy policy,4,other
mostrar-ne els detalls,4,settings
my options,4,settings
más información aquí,4,other
más información.,4,other
nasi partnerzy (1037),4,other
naszych partnerów,4,other
necessary cookies,4,reject
net nanny®,4,other
"no thanks, just let me shop",4,reject
"no, adjust",4,settings
"no, leave",4,reject
"no, take me to settings",4,other
nota prawna,4,other
notice of financial incentives.,4,other
"nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter",4,other
nutzungsbedingungen,4,other
obtener más información y configuración,4,settings
odrzuć wszystkie pliki cookies,4,reject
odrzuć wszystkie zgody,4,reject
"ok, rozumiem",4,acknowledge
"ok, understood",4,acknowledge
on group privacy notice,4,other
onartu,4,accept
online privacy and cookies policy,4,other
online privacy statement,4,other
opt out of sale of personal data and targeted advertising,4,reject
opt-out preferences,4,settings
our 1019 partners,4,other
our 15 partners,4,other
our 1711 partners,4,other
our 3 partners,4,other
our 35 partners,4,other
our 972 partners,4,other
our cookie policy,4,other
our partners,4,other
oświadczenie o plikach cookie,4,other
parental control guide,4,other
partnerami,4,other
partnerów,4,other
per a activitats publicitàries o danalítica,4,other
performance,4,other
permetre totes les cookies,4,accept
personnaliser,4,settings
pliki cookies,4,other
podmioty stowarzyszone,4,other
politique de cookies,4,other
"polityka cookies,",4,other
polityką prywatności.,4,other
políticas de cookies.,4,other
portal terms and conditions,4,other
potwierdzam wybrane,4,accept
privacy and cookies policy,4,other
privacy controls,4,settings
privacy policies,4,other
privacy policy and terms,4,other
privacy policy faqs,4,other
"privacy policy,",4,other
privacy security.,4,other
privacy statement.,4,other
privacyverklaring,4,other
protección de datos,4,other
przeczytaj o polityce prywatności,4,other
puedes rechazar utiq ahora,4,reject
purpose of processing,4,other
read more about cookies,4,other
read our privacy policy.,4,other
rechazar y continuar,4,reject
rechazar y suscribirme,4,reject
refuse all cookies,4,reject
refuser,4,reject
refuser et sabonner,4,reject
regulaminu,4,other
reject advertising cookies,4,reject
reject and manage,4,reject
reject and subscribe,4,other
reject non essential,4,reject
requisitos de registro de declaración de cumplimiento 18 u.s.c 2257.,4,other
rezygnuję,4,reject
roadpass digital privacycookie policy,4,other
safetonet,4,other
se connecter,4,other
see our cookie policy.,4,other
segpay.com,4,other
select preferences,4,settings
"sin anuncios por 3,99 € al mes",4,other
solo esenciales,4,reject
solo las necesarias,4,reject
soy mayor de 18 años,4,other
straight,4,other
strictly necessary only,4,reject
subscribe and decline,4,reject
suscribirme y rechazar,4,reject
"sí, estoy de acuerdo",4,accept
targeting,4,other
tcf vendors,4,other
terceros,4,other
terms of usage,4,other
terms of use agreement,4,other
third parties,4,other
third-party companies,4,other
trans,4,other
tworzenie profili w celu personalizacji treści,4,other
tworzenie profili w celu spersonalizowanych reklam,4,other
tylko niezbędne pliki cookie,4,reject
us privacy notice,4,other
uso de cookies,4,other
ustawienia cookie,4,settings
ustawieniach reklam,4,other
utilizar datos de localización geográfica precisa,4,other
utiq jetzt ablehnen,4,reject
używamy plików cookie (tzw. ciasteczek),4,other
ver nuestros 757 socios,4,other
ver política de privacidad,4,other
video consent and viewing policy,4,other
view cookie policy,4,other
view cookie settings,4,settings
view our global privacy statement,4,other
view privacy terms,4,other
visitor agreement,4,other
wykorzystanie profili do wyboru spersonalizowanych reklam,4,other
"yes, i agree",4,accept
your privacy choices.,4,other
your state-specific privacy choices,4,other
zaakceptuj wszystkie zgody i wejdź do serwisu,4,accept
zaakceptuj wybrane,4,accept
zarządzaj,4,settings
zaufanymi partnerami iab (1010),4,other
zobacz politykę cookies.,4,other
zustimmen,4,accept
über 600 andere websites,4,other
куки,4,other
ок,4,acknowledge
понятно,4,acknowledge
принять,4,accept
(los datos que recopilamos),3,other
*z wyjątkiem niezbędnych,3,reject
1257 partners,3,other
140 socios,3,other
196 socios,3,other
464 socios,3,other
47 u.s.c. § 230(d),3,other
600 other websites,3,other
717 weitere websites,3,other
abandonar el sitio,3,other
ablehnen abonnieren,3,reject
accedi,3,other
accept only necessary,3,reject
accept selected,3,accept
accepta,3,accept
accepter et fermer,3,acknowledge
aceptar solo cookies necesarias,3,reject
aceptar solo lo necesario,3,reject
aceptar todas y cerrar,3,accept
aceptar y navegar gratis,3,accept
acepto cookies,3,accept
acknowledge,3,acknowledge
adjust your cookie settings,3,settings
agree proceed,3,accept
ajustar cookies,3,settings
akceptuj informacje o polityce prywatności,3,other
akceptuj wszystkie i przejdź do serwisu,3,accept
akceptuję wszystkie i korzystam z usług,3,accept
akceptuję wszystkie pliki cookies,3,accept
akceptuję wszystko,3,accept
akceptuję!,3,accept
allegro user agreement,3,other
